"data_ref","ano_mes","expectativa_mensal"
"2024","2021-03",3.24826086956522
"2025","2021-03",3.2216652173913
"2021","2021-04",4.921835
"2022","2021-04",3.568645
"2023","2021-04",3.25
"2024","2021-04",3.25
"2025","2021-04",3.24432
"2021","2021-05",5.17184285714286
"2022","2021-05",3.6452
"2023","2021-05",3.25
"2024","2021-05",3.25
"2025","2021-05",3.25
"2021","2021-06",5.77397619047619
"2022","2021-06",3.75628571428571
"2023","2021-06",3.25
"2024","2021-06",3.25
"2025","2021-06",3.25
"2021","2021-07",6.31878181818182
"2022","2021-07",3.76951818181818
"2023","2021-07",3.25
"2024","2021-07",3.09252727272727
"2025","2021-07",3.01681818181818
"2021","2021-08",7.04679090909091
"2022","2021-08",3.89167727272727
"2023","2021-08",3.25
"2024","2021-08",3.00318636363636
"2025","2021-08",3
"2021","2021-09",8.11126666666667
"2022","2021-09",4.06209523809524
"2023","2021-09",3.25
"2024","2021-09",3.00585714285714
"2025","2021-09",3
"2021","2021-10",8.7627
"2022","2021-10",4.274165
"2023","2021-10",3.260255
"2024","2021-10",3.01427
"2025","2021-10",3
"2021","2021-11",9.783375
"2022","2021-11",4.812935
"2023","2021-11",3.358
"2024","2021-11",3.08875
"2025","2021-11",3
"2021","2021-12",10.0744739130435
"2022","2021-12",5.02452173913044
"2023","2021-12",3.42830869565217
"2024","2021-12",3.03393043478261
"2025","2021-12",3
"2021","2022-01",9.99351666666667
"2022","2022-01",5.11759523809524
"2023","2022-01",3.39401428571429
"2024","2022-01",3.00000476190476
"2025","2022-01",3
"2026","2022-01",3
"2022","2022-02",5.50491052631579
"2023","2022-02",3.50333157894737
"2024","2022-02",3.05114210526316
"2025","2022-02",3
"2026","2022-02",3
"2022","2022-03",6.35961363636364
"2023","2022-03",3.68945
"2024","2022-03",3.14590909090909
"2025","2022-03",3
"2026","2022-03",3
"2022","2022-04",7.41893684210526
"2023","2022-04",3.93335789473684
"2024","2022-04",3.17473684210526
"2025","2022-04",3
"2026","2022-04",3
"2022","2022-05",8.33981363636364
"2023","2022-05",4.21068181818182
"2024","2022-05",3.23553181818182
"2025","2022-05",3.00000909090909
"2026","2022-05",3
"2022","2022-06",8.476
"2023","2022-06",4.70934285714286
"2024","2022-06",3.25
"2025","2022-06",3.00000952380952
"2026","2022-06",3
"2022","2022-07",7.53379523809524
"2023","2022-07",5.19226666666667
"2024","2022-07",3.28785714285714
"2025","2022-07",3.0002
"2026","2022-07",3.00001428571429
"2022","2022-08",6.93627391304348
"2023","2022-08",5.34567826086957
"2024","2022-08",3.37479565217391
"2025","2022-08",3.00001304347826
"2026","2022-08",3
"2022","2022-09",6.15485238095238
"2023","2022-09",5.08400952380952
"2024","2022-09",3.47952380952381
"2025","2022-09",3
"2026","2022-09",3
"2022","2022-10",5.64237
"2023","2022-10",4.964965
"2024","2022-10",3.46875
"2025","2022-10",3
"2026","2022-10",3
"2022","2022-11",5.798155
"2023","2022-11",4.971855
"2024","2022-11",3.5
"2025","2022-11",3.00005
"2026","2022-11",3
"2022","2022-12",5.76853636363636
"2023","2022-12",5.15656818181818
"2024","2022-12",3.5318
"2025","2022-12",3.09904545454545
"2026","2022-12",3.01814545454545
"2022","2023-01",5.6182
"2023","2023-01",5.44287727272727
"2024","2023-01",3.77850454545455
"2025","2023-01",3.44772727272727
"2026","2023-01",3.31550909090909
"2027","2023-01",3.20348125
"2023","2023-02",5.82066111111111
"2024","2023-02",3.98313888888889
"2025","2023-02",3.63777777777778
"2026","2023-02",3.58222222222222
"2027","2023-02",3.71694444444444
"2023","2023-03",5.93509565217391
"2024","2023-03",4.06770869565217
"2025","2023-03",3.87391304347826
"2026","2023-03",3.88489130434783
"2027","2023-03",4
"2023","2023-04",6.00714444444444
"2024","2023-04",4.16287222222222
"2025","2023-04",4
"2026","2023-04",4
"2027","2023-04",4
